# Species	Genes	Alg.-Conn.	Anoxybacillus_flavithermus_WK1_ASM1904v1_genomic.g2d.faa	Bacillus_amyloliquefaciens_XH7_ASM22164v1_genomic.g2d.faa	Bacillus_anthracis_Ames_ASM83306v1_genomic.g2d.faa	Bacillus_clausii_KSM-K16_ASM982v1_genomic.g2d.faa	Bacillus_licheniformis_DSM_13___ATCC_14580_ASM842v1_genomic.g2d.faa	Bacillus_licheniformis_SCDB_14_ASM207409v1_genomic.g2d.faa	Bacillus_megaterium_DSM_319_ASM2580v1_genomic.g2d.faa	Bacillus_subtilis_subsp_subtilis_str_168_ASM904v1_genomic.g2d.faa	Bacillus_thuringiensis_BMB171_ASM9216v1_genomic.g2d.faa	Clostridioides_difficile_630_ASM920v1_genomic.g2d.faa	Clostridium_acetobutylicum_ATCC_824_ASM876v1_genomic.g2d.faa	Clostridium_beijerinckii_NCIMB_8052_ASM1696v1_genomic.g2d.faa	Clostridium_botulinum_A_str_ATCC_3502_ASM6358v1_genomic.g2d.faa	Clostridium_kluyveri_DSM_555_ASM1650v1_genomic.g2d.faa	Clostridium_novyi_NT_ASM1412v1_genomic.g2d.faa	Clostridium_perfringens_ATCC_13124_ASM1328v1_genomic.g2d.faa	Clostridium_tetani_E88_Massachusetts_substr_E88_ASM762v1_genomic.g2d.faa	Corynebacterium_glutamicum_CP_ASM144786v2_genomic.g2d.faa	Enterococcus_faecalis_V583_ASM778v1_genomic.g2d.faa	Geobacillus_kaustophilus_HTA426_ASM978v1_genomic.g2d.faa	Lactobacillus_acidophilus_NCFM_ASM1198v1_genomic.g2d.faa	Lactobacillus_brevis_ATCC_367_ASM1446v1_genomic.g2d.faa	Lactobacillus_casei_BL23_ASM2648v1_genomic.g2d.faa	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA-365_ASM1440v1_genomic.g2d.faa	Lactobacillus_fermentum_IFO_3956_ASM1014v1_genomic.g2d.faa	Lactobacillus_helveticus_DPC_4571_ASM1538v1_genomic.g2d.faa	Lactobacillus_johnsonii_NCC_533_ASM806v1_genomic.g2d.faa	Lactobacillus_pentosus_BGM48_ASM285001v1_genomic.g2d.faa	Lactobacillus_plantarum_WCFS1_NCIMB8826_ASM20385v3_genomic.g2d.faa	Lactobacillus_reuteri_JCM_1112_ASM1000v1_genomic.g2d.faa	Lactobacillus_rhamnosus_GG_ASM335345v1_genomic.g2d.faa	Lactobacillus_sakei_DS4_ASM295365v1_genomic.g2d.faa	Lactobacillus_salivarius_UCC118_ASM892v1_genomic.g2d.faa	Lactococcus_lactis_subsp_cremoris_MG1363_ASM942v1_genomic.g2d.faa	Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293_ASM1444v1_genomic.g2d.faa	Oenococcus_oeni_PSU-1_ASM1438v1_genomic.g2d.faa	Paenibacillus_polymyxa_SQR-21_SQR21_ASM59798v1_genomic.g2d.faa	Pediococcus_pentosaceus_ATCC_25745_ASM1450v1_genomic.g2d.faa	Staphylococcus_aureus_subsp_aureus_NCTC_8325_ASM1342v1_genomic.g2d.faa	Streptococcus_agalactiae_2603V_R_ASM726v1_genomic.g2d.faa	Streptococcus_anginosus_J4211_ASM141263v1_genomic.g2d.faa	Streptococcus_dysgalactiae_subsp_equisimilis_GGS_124_ASM1070v1_genomic.g2d.faa	Streptococcus_equi_subsp_zooepidemicus_MGCS10565_MGCS10565_ATCC_BAA1716_ASM2076v1_genomic.g2d.faa	Streptococcus_gallolyticus_UCN34_ASM2718v1_genomic.g2d.faa	Streptococcus_gordonii_str_Challis_substr_CH1_ASM1700v1_genomic.g2d.faa	Streptococcus_intermedius_JTH08_ASM30680v1_genomic.g2d.faa	Streptococcus_lutetiensis_033_ASM44153v1_genomic.g2d.faa	Streptococcus_mitis_B6_ASM2716v1_genomic.g2d.faa	Streptococcus_mutans_UA159_ASM746v2_genomic.g2d.faa	Streptococcus_pneumoniae_D39_ASM1436v2_genomic.g2d.faa	Streptococcus_pyogenes_HSC5_ASM42204v1_genomic.g2d.faa	Streptococcus_pyogenes_MGAS5005_ASM1176v2_genomic.g2d.faa	Streptococcus_suis_P1_7_ASM9190v1_genomic.g2d.faa	Streptococcus_thermophilus_CNRZ1066_ASM1184v1_genomic.g2d.faa	Streptococcus_uberis_0140J_ASM954v1_genomic.g2d.faa	Tetragenococcus_halophilus_MJ4_ASM171281v1_genomic.g2d.faa
35	35	0.00153	Aflv_0907	BAXH7_02590	BF25_RS03650	*	BLi02645	B14_RS09070	BMD_4478	BSU24700	BMB171_C3908	*	*	*	*	*	*	*	*	*	*	GK2432	*	*	LCABL_11900	*	LAF_0547	*	*	BB562_06250	lp_2246	*	DU507_05165	C0213_07215	LSL_0427	llmg_2405	*	*	*	PEPE_1235	SAOUHSC_01639	*	SanJ4211_0221	SDEG_0137	Sez_0118	GALLO_0090	SGO_1921	SCIM_RS08230	KE3_RS00250	smi_0208	SMU_1983	SPD_1860	L897_00690	M5005_Spy0089	SSU0129	str1862	SUB0121	AC806_RS01075
55	55	0.49	Aflv_0112	*	BF25_RS24710	ABC0157	BLi00140	B14_RS21150	BMD_0141	BSU01230	BMB171_C0112	CD630_00800	CA_C3126	Cbei_0158	CBO3473	CKL_0231	NT01CX_1122	CPF_2707	CTC_02595	AC079_03250	EF_0213	GK0113	LBA0298	LVIS_1683	LCABL_26630	LBUL_0357	LAF_1508	lhv_0319	LJ_0346	BB562_12065	lp_1041	LAR_1387	DU507_12905	C0213_09590	LSL_1428	llmg_2376	LEUM_0203	OEOE_0602	PPSQR21_045290	PEPE_1411	SAOUHSC_02505	SAG0065	SanJ4211_1776c	SDEG_0075	Sez_0063	GALLO_0057	SGO_1978	SCIM_RS08625	KE3_RS01740	smi_1898	SMU_2020	SPD_0200	L897_00420	M5005_Spy0051	SSU0077	str1927	SUB0075	AC806_RS10300
54	54	0.52	Aflv_0110	*	BF25_RS24720	ABC0155	BLi00138	B14_RS21160	BMD_0139	BSU01210	BMB171_C0110	CD630_00780	CA_C3128	Cbei_0156	CBO3475	CKL_0229	NT01CX_1120	CPF_2709	CTC_02597	AC079_03240	EF_0211	GK0111	*	LVIS_1685	LCABL_26650	LBUL_0355	LAF_1510	lhv_0317	LJ_0344	BB562_12075	lp_1039	LAR_1389	DU507_12915	C0213_09600	LSL_1430	llmg_2378	LEUM_0201	OEOE_0600	PPSQR21_045310	PEPE_1413	SAOUHSC_02507	SAG0063	SanJ4211_1778c	SDEG_0073	Sez_0061	GALLO_0055	SGO_1980	SCIM_RS08635	KE3_RS01730	smi_1900	SMU_2022	SPD_0198	L897_00410	M5005_Spy0049	SSU0075	str1929	SUB0073	AC806_RS10310
55	55	0.375	Aflv_0106	*	BF25_RS24740	ABC0151	BLi00134	B14_RS21180	BMD_0135	BSU01170	BMB171_C0107	CD630_00740	CA_C3132	Cbei_0152	CBO3479	CKL_0225	NT01CX_1116	CPF_2713	CTC_02599	AC079_03220	EF_0207	GK0107	LBA0292	LVIS_1689	LCABL_26690	LBUL_0351	LAF_1514	lhv_0313	LJ_0340	BB562_12095	lp_1034	LAR_1393	DU507_12935	C0213_09620	LSL_1434	llmg_2382	LEUM_0197	OEOE_0596	PPSQR21_045350	PEPE_1417	SAOUHSC_02511	SAG0059	SanJ4211_1782c	SDEG_0069	Sez_0057	GALLO_0051	SGO_1984	SCIM_RS08655	KE3_RS01710	smi_1904	SMU_2024c	SPD_0194	L897_00390	M5005_Spy0045	SSU0071	str1933	SUB0069	AC806_RS10330
50	50	0.506	Aflv_0104	*	BF25_RS24750	ABC0149	BLi00132	B14_RS21190	BMD_0133	BSU01150	BMB171_C0105	CD630_00720	CA_C3134	Cbei_0150	CBO3481	CKL_0223	NT01CX_1114	CPF_2715	*	AC079_03210	EF_0205	GK0105	*	LVIS_1691	LCABL_26710	LBUL_0349	LAF_1516	lhv_0311	LJ_0338	BB562_12105	lp_1032	LAR_1395	DU507_12945	C0213_09630	LSL_1436	llmg_2384	LEUM_0195	OEOE_0594	PPSQR21_045370	PEPE_1419	*	SAG0057	SanJ4211_1784c	SDEG_0067	Sez_0055	*	SGO_1986	SCIM_RS08665	KE3_RS01700	smi_1906	*	SPD_0192	L897_00380	M5005_Spy0043	SSU0069	str1935	SUB0067	AC806_RS10340
52	52	0.498	Aflv_0100	*	BF25_RS24770	ABC0145	BLi00128	B14_RS21210	BMD_0129	BSU01100	*	CD630_00680	CA_C3140	Cbei_0146	CBO3485	CKL_0219	NT01CX_1110	CPF_2719	CTC_02606	AC079_03115	EF_0198	GK0101	*	LVIS_1695	LCABL_26770	LBUL_0346	LAF_1519	lhv_0308	LJ_0335	BB562_12120	lp_1025	LAR_1398	DU507_12980	C0213_09655	LSL_0200	llmg_2558	LEUM_0187	OEOE_1316	PPSQR21_045410	PEPE_1422	SAOUHSC_00527	SAG1771	SanJ4211_1716c	SDEG_1939	Sez_0266	*	SGO_0204	SCIM_RS00920	KE3_RS08865	smi_0261	SMU_357	SPD_0251	L897_01300	M5005_Spy0230	SSU0148	str1791	SUB1633	AC806_RS10385
14	14	0.77	Aflv_2771	*	BF25_RS28210	*	*	*	BMD_0286	*	BMB171_C4529	*	CA_C3195	Cbei_0106	CBO3517	CKL_0180	NT01CX_1048	CPF_2779	CTC_00212	AC079_11055	*	GK3430	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_01666	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
15	15	0.402	Aflv_2032	*	BF25_RS27475	ABC0290	*	*	BMD_3825	*	BMB171_C4663	CD630_21950	CA_C0845	Cbei_2549	CBO1784	CKL_0113	*	CPF_1236	CTC_00138	AC079_12490	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_023640	*	SAOUHSC_02108	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
52	52	0.41	Aflv_2841	*	BF25_RS25460	ABC4100	BLi04341	B14_RS00810	BMD_5250	BSU40420	BMB171_C5067	CD630_36550	CA_C3593	Cbei_5074	CBO3616	CKL_0087	NT01CX_0905	CPF_2958	*	AC079_13705	EF_0014	GK3475	*	LVIS_0227	LCABL_01130	*	LAF_0044	lhv_2030	LJ_0442	BB562_14925	lp_3270	LAR_0066	DU507_00710	C0213_00310	LSL_1724	llmg_2201	LEUM_1460	OEOE_1126	PPSQR21_051410	PEPE_1247	SAOUHSC_00019	SAG1818	SanJ4211_1739c	SDEG_0167	Sez_1816	GALLO_2134	SGO_1989	SCIM_RS00755	KE3_RS09295	smi_0022	SMU_268	SPD_0024	L897_00930	M5005_Spy0136	SSU1758	str1940	SUB0152	AC806_RS00070
5	5	0.792	*	BAXH7_t04289	BF25_RS27120	*	BLi03708	B14_RS03815	*	*	BMB171_C5230	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
53	53	0.276	Aflv_2703	BAXH7_03817	BF25_RS26285	ABC3852	BLi03927	B14_RS02740	BMD_5135	BSU36820	BMB171_C4906	CD630_34690	CA_C2866	Cbei_0417	CBO0155	CKL_3689	NT01CX_0531	CPF_2453	*	AC079_06680	EF_2609	GK3359	*	LVIS_1280	LCABL_13870	LBUL_0642	LAF_0440	lhv_0811	LJ_0939	BB562_05705	lp_2365	LAR_0456	DU507_06190	C0213_06400	LSL_0599	llmg_1947	LEUM_1870	OEOE_0664	PPSQR21_047040	PEPE_1318	SAOUHSC_02343	SAG0862	SanJ4211_0649	SDEG_0728	Sez_0797	*	SGO_1543	SCIM_RS06140	KE3_RS03385	smi_1310	SMU_1529	SPD_1336	L897_03080	M5005_Spy0580	SSU1015	str0483	SUB0671	AC806_RS06970
51	51	0.508	Aflv_2858	BAXH7_04233	BF25_RS25380	ABC4116	BLi04374	B14_RS00645	BMD_5267	BSU41010	BMB171_C5083	CD630_36750	CA_C3733	Cbei_5098	CBO3642	CKL_3920	NT01CX_0874	CPF_2991	CTC_00099	*	EF_3311	GK3493	*	LVIS_2309	LCABL_31220	LBUL_2035	LAF_1838	lhv_2103	LJ_1854	BB562_16295	lp_3681	LAR_1815	DU507_15305	C0213_10300	LSL_0124	llmg_2035	*	*	PPSQR21_051690	PEPE_1843	SAOUHSC_03052	SAG2142	SanJ4211_1898c	SDEG_2148	*	GALLO_2237	SGO_0025	SCIM_RS09345	KE3_RS09715	smi_1961	SMU_2141	SPD_0129	L897_09130	M5005_Spy1838	SSU1941	str2002	SUB1846	AC806_RS11555
52	52	0.509	Aflv_2850	BAXH7_04225	BF25_RS25415	*	BLi04365	B14_RS00690	BMD_5259	BSU40939	*	CD630_36650	CA_C3725	Cbei_5087	CBO3630	CKL_3911	NT01CX_0882	CPF_2979	*	*	EF_3297	GK3485	LBA1825	LVIS_2062	LCABL_02030	LBUL_1898	LAF_0078	lhv_1863	LJ_0558	BB562_14650	lp_3197	LAR_0102	DU507_01295	C0213_00090	LSL_1595	llmg_0005	LEUM_0348	OEOE_0116	PPSQR21_051610	PEPE_1722	SAOUHSC_00345	SAG0004	SanJ4211_0003	SDEG_0003	Sez_0003	GALLO_0004	SGO_0003	SCIM_RS00015	KE3_RS00020	smi_0003	SMU_05	SPD_0003	L897_00015	M5005_Spy0003	SSU0004	str0003	SUB0003	AC806_RS11465
54	54	0.474	Aflv_2849	BAXH7_04223	BF25_RS25420	ABC4108	BLi04364	B14_RS00700	BMD_5258	BSU40920	BMB171_C5075	CD630_26620	CA_C2134	Cbei_0994	CBO1451	CKL_1180	NT01CX_1933	CPF_2121	CTC_01643	AC079_05760	EF_3296	GK3483	*	LVIS_2061	LCABL_02040	LBUL_1897	LAF_0079	lhv_1862	LJ_0559	BB562_14645	lp_3196	LAR_0103	DU507_01300	C0213_00095	LSL_1594	llmg_0007	LEUM_0349	OEOE_0117	PPSQR21_047260	PEPE_1721	SAOUHSC_00346	SAG0006	SanJ4211_0005	SDEG_0005	Sez_0005	*	SGO_2142	SCIM_RS00025	KE3_RS00025	smi_0004	SMU_06	SPD_0004	L897_00020	M5005_Spy0004	SSU0006	str0004	SUB0005	AC806_RS11460
4	4	0.767	*	BAXH7_04208	BF25_RS10115	*	*	*	BMD_3747	*	BMB171_C2784	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
44	44	0.485	*	BAXH7_04195	BF25_RS11400	ABC2903	BLi03882	B14_RS02955	BMD_2499	BSU40550	BMB171_C2528	*	CA_C2138	*	*	*	*	*	*	*	EF_1611	*	*	LVIS_0807	LCABL_16370	LBUL_0902	LAF_0906	lhv_1235	LJ_1173	BB562_08310	lp_1837	LAR_0755	DU507_07435	C0213_05620	LSL_0833	llmg_1996	LEUM_1362	OEOE_1028	PPSQR21_003340	PEPE_0956	SAOUHSC_02140	SAG1397	SanJ4211_0471	SDEG_0429	Sez_1624	*	SGO_1648	SCIM_RS02415	KE3_RS07945	smi_1516	SMU_1687	SPD_1363	L897_01735	M5005_Spy0319	SSU1478	str0372	SUB0418	AC806_RS05960
54	54	0.425	Aflv_2844	BAXH7_04190	BF25_RS25445	ABC4103	BLi04354	B14_RS00745	BMD_5253	BSU40510	BMB171_C5070	CD630_36590	CA_C3718	Cbei_5082	CBO3623	CKL_3905	NT01CX_0888	CPF_2973	CTC_00111	*	EF_0011	GK3478	*	LVIS_0017	LCABL_01090	LBUL_0010	LAF_0010	lhv_0016	LJ_0010	BB562_00050	lp_0012	LAR_0010	DU507_00650	C0213_00050	LSL_1728	llmg_1816	LEUM_1967	OEOE_0013	PPSQR21_051440	PEPE_0010	SAOUHSC_00015	SAG2141	SanJ4211_1897c	SDEG_2147	Sez_1927	GALLO_2236	SGO_0026	SCIM_RS09340	KE3_RS09710	smi_2055	SMU_2140c	SPD_2032	L897_09125	M5005_Spy1837	SSU1940	str2001	SUB1845	AC806_RS00050
10	10	0.601	Aflv_0954	BAXH7_04181	BF25_RS03995	*	BLi04346	B14_RS00785	BMD_4433	BSU40470	BMB171_C3830	*	*	*	*	*	*	*	*	*	*	GK2386	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_041740	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.532	*	BAXH7_04176	BF25_RS06510	*	BLi03174	B14_RS06430	*	BSU40430	BMB171_C2634	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
53	53	0.381	Aflv_2835	BAXH7_04169	BF25_RS25505	ABC4095	BLi04331	B14_RS00860	BMD_5241	BSU40370	BMB171_C5062	CD630_36510	CA_C3538	Cbei_5061	CBO3567	CKL_0126	NT01CX_0949	CPF_2932	CTC_00168	*	EF_1197	GK3470	LBA0082	LVIS_0033	LCABL_30090	LBUL_0117	LAF_0019	lhv_0099	LJ_0069	BB562_00170	lp_0041	LAR_0022	DU507_14635	C0213_00400	LSL_0041	llmg_0412	*	*	PPSQR21_051340	PEPE_1793	SAOUHSC_00024	SAG0721	SanJ4211_0697	SDEG_0571	Sez_1394	GALLO_1552	SGO_0781	SCIM_RS03785	KE3_RS07330	smi_1175	SMU_1515	SPD_1083	L897_02380	M5005_Spy0437	SSU1189	str1158	SUB0554	AC806_RS03870
55	55	0.494	Aflv_2832	BAXH7_04147	BF25_RS25520	ABC4093	BLi04324	B14_RS00895	BMD_5238	BSU40230	BMB171_C5059	CD630_36490	CA_C3536	Cbei_5057	CBO3570	CKL_2328	NT01CX_0953	CPF_2927	CTC_00165	*	EF_3025	GK3467	LBA0084	LVIS_0035	LCABL_29990	LBUL_0119	LAF_0021	lhv_0101	LJ_0071	BB562_00180	lp_0045	LAR_0026	DU507_14575	C0213_00410	LSL_0043	llmg_2418	LEUM_1945	OEOE_0108	PPSQR21_051230	PEPE_1831	SAOUHSC_00027	SAG2173	SanJ4211_1924c	SDEG_2176	Sez_1959	GALLO_2260	SGO_2149	SCIM_RS09490	KE3_RS09925	smi_2087	SMU_2162c	SPD_2067	L897_09270	M5005_Spy1864	SSU1967	str2023	SUB1867	AC806_RS01145
12	12	0.762	Aflv_1385	BAXH7_03256	BF25_RS04330	ABC2918	BLi03386	B14_RS05405	BMD_4946	BSU32040	BMB171_C3770	*	*	*	*	*	NT01CX_0266	*	CTC_02311	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_00880	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.81	Aflv_2480	BAXH7_03390	BF25_RS27715	ABC2988	BLi03464	B14_RS05035	BMD_4990	BSU32820	BMB171_C4611	*	*	*	*	*	*	*	*	*	*	GK3006	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
11	11	0.464	Aflv_2476	BAXH7_03386	BF25_RS27810	*	BLi03460	B14_RS05055	BMD_4986	BSU32780	BMB171_C4599	*	*	*	*	*	*	*	*	*	*	GK3002	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_041630	*	SAOUHSC_00840	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.854	*	BAXH7_03366	BF25_RS11980	*	*	*	*	BSU32620	BMB171_C2431	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_050320	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.566	*	BAXH7_03344	BF25_RS16005	*	BLi03797	B14_RS03380	BMD_3278	BSU32400	BMB171_C1656	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_001130	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
24	24	0.554	Aflv_2433	BAXH7_03343	BF25_RS17830	ABC2959	BLi03430	B14_RS05200	BMD_4975	BSU32390	BMB171_C1293	*	*	*	*	*	*	*	*	*	EF_0366	GK2985	*	LVIS_0454	LCABL_27710	*	LAF_0185	*	*	BB562_01940	lp_0450	LAR_0200	DU507_13510	C0213_09095	LSL_0361	*	*	*	PPSQR21_039960	PEPE_0265	SAOUHSC_00858	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS03135
10	10	0.415	Aflv_2416	BAXH7_03333	BF25_RS28010	ABC2943	BLi03416	B14_RS05270	BMD_4964	BSU32270	BMB171_C4566	*	*	*	*	*	*	*	*	*	*	GK2966	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
11	11	0.625	Aflv_2410	BAXH7_03326	BF25_RS28025	ABC2938	BLi03409	B14_RS05305	BMD_4958	BSU32210	BMB171_C4563	*	*	*	*	*	*	*	*	*	*	GK2960	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_00874	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
12	12	0.681	Aflv_2408	BAXH7_03324	BF25_RS28090	ABC2936	BLi03401	B14_RS05340	BMD_4956	BSU32190	BMB171_C4552	*	*	*	*	*	*	*	*	*	*	GK2958	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_041430	*	SAOUHSC_00876	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
30	30	0.275	Aflv_2406	BAXH7_03322	BF25_RS28095	ABC2934	BLi03399	B14_RS05350	BMD_4955	BSU32170	BMB171_C4551	CD630_25900	CA_C2624	Cbei_1600	CBO1912	CKL_1203	NT01CX_1955	CPF_2100	*	AC079_09420	EF_0464	GK2957	*	*	LCABL_01020	*	LAF_0852	lhv_0902	*	BB562_06665	lp_2185	LAR_0590	DU507_00610	*	LSL_0856	*	*	*	PPSQR21_030900	PEPE_0138	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS08970
10	10	0.547	Aflv_2400	BAXH7_03260	BF25_RS28160	ABC2923	BLi03390	B14_RS05385	BMD_4950	BSU32080	BMB171_C4538	*	*	*	*	*	*	*	*	*	*	GK2950	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
15	15	0.537	*	BAXH7_03257	BF25_RS28170	ABC2920	BLi03387	B14_RS05400	BMD_4947	BSU32050	BMB171_C4536	CD630_13000	*	Cbei_2737	*	*	*	CPF_2824	CTC_01866	AC079_10690	*	GK2947	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_00879	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
7	7	0.864	*	BAXH7_03403	BF25_RS27680	*	BLi03470	B14_RS05005	BMD_4995	BSU32930	BMB171_C4617	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.725	*	BAXH7_03247	BF25_RS13570	*	BLi03897	B14_RS02875	*	BSU31959	BMB171_C2078	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
4	4	0.867	*	BAXH7_03246	BF25_RS18885	*	*	*	*	BSU31945	BMB171_C1100	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.839	Aflv_2065	BAXH7_03234	BF25_RS01995	ABC2533	BLi03372	B14_RS05475	BMD_4944	BSU31830	BMB171_C4210	*	*	*	*	*	*	*	*	*	*	GK0913	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
9	9	0.524	*	BAXH7_03195	BF25_RS28235	ABC2031	BLi03328	B14_RS05670	BMD_4940	BSU31460	BMB171_C4524	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_00890	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
7	7	0.683	*	BAXH7_03192	BF25_RS28255	*	BLi03324	B14_RS05690	*	BSU31430	BMB171_C4520	*	*	*	*	*	*	*	*	*	*	GK2930	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.728	Aflv_2384	BAXH7_03181	BF25_RS28300	ABC2905	BLi03310	B14_RS05745	BMD_4922	BSU31330	BMB171_C4512	*	*	*	*	*	*	*	*	*	*	GK2923	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
12	12	0.624	*	BAXH7_03171	BF25_RS05075	ABC2191	BLi03298	B14_RS05805	BMD_2424	BSU31270	BMB171_C3628	*	*	*	CBO2291	CKL_0538	*	*	*	*	*	GK2914	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_029440	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
14	14	0.451	Aflv_0381	BAXH7_03091	BF25_RS28505	*	BLi03222	B14_RS06185	BMD_4877	BSU30820	BMB171_C4494	*	*	*	*	*	*	*	*	AC079_02955	EF_0448	GK2875	*	*	*	*	*	*	*	*	*	*	*	*	*	llmg_1829	LEUM_0752	*	*	*	SAOUHSC_00983	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
9	9	0.53	Aflv_0407	BAXH7_03069	BF25_RS13640	*	BLi03199	B14_RS06310	BMD_4849	BSU30570	BMB171_C2065	*	*	*	*	*	*	*	*	*	*	GK2853	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
11	11	0.634	Aflv_0418	BAXH7_03062	BF25_RS28995	ABC1218	BLi03190	B14_RS06355	BMD_4842	BSU30500	BMB171_C4392	*	*	*	*	*	*	*	*	*	*	GK2847	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_017770	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
30	30	0.453	Aflv_2532	BAXH7_03616	BF25_RS18080	ABC3045	BLi03733	B14_RS03690	BMD_5054	BSU34880	BMB171_C1247	CD630_15520	CA_C0940	Cbei_1321	CBO1570	CKL_1299	NT01CX_1065	*	*	AC079_10170	*	GK3072	*	*	LCABL_16520	*	LAF_0760	*	*	BB562_04915	lp_2556	*	DU507_07510	*	*	llmg_1291	LEUM_1551	*	PPSQR21_001720	*	SAOUHSC_03009	*	*	*	*	GALLO_1466	SGO_1405	*	KE3_RS06590	*	SMU_1265	*	*	*	*	*	*	*
19	19	0.648	Aflv_2686	BAXH7_03810	BF25_RS26385	ABC3846	BLi03921	B14_RS02770	BMD_5129	BSU36750	BMB171_C4886	CD630_01240	CA_C2861	Cbei_0422	CBO0160	CKL_3684	NT01CX_0526	CPF_2448	CTC_00315	*	*	GK3340	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_046980	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
